ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
2.7.1.25	1,0	1,0	0,71428572	0,71428572	0,57142857	0,71428572
2.7.1.26	0,66666667	1,0	1,0	1,0	1,0	1,0
1.1.3.15	1,0	1,0	1,0	0,85714286	0	0,90909091
1.14.11.20	1,0	1,0	0	0	0	1,0
1.14.11.24	1,0	1,0	0	0	0	0,66666667
1.14.11.25	1,0	1,0	0	0	0	1,0
2.3.1.234	1,0	1,0	1,0	1,0	0	1,0
1.14.13.237	0	0	0	1,0	0	0
2.1.1.241	1,0	1,0	0	0	0	1,0
2.4.1.131	1,0	1,0	1,0	1,0	0	0,66666667
1.14.19.35	0	0	0,35294117	0,28571429	0	0
2.3.1.195	1,0	1,0	0	1,0	0	1,0
2.3.1.196	0,6	1,0	0,375	0	0	0
2.3.1.199	0,97674418	1,0	1,0	1,0	0	1,0
2.3.1.198	0,8	1,0	0,4	0,4	0	1,0
3.4.22.25	1,0	1,0	0	0	0	0
3.1.4.4	1,0	1,0	1,0	0,72222222	0	1,0
3.2.1.106	0,66666667	0,66666667	0,66666667	0,66666667	0	0,66666667
3.1.4.1	0,33333333	1,0	1,0	1,0	0	0,8
3.2.1.105	1,0	1,0	0	0	0	1,0
2.4.1.99	1,0	1,0	0	0	0	1,0
3.1.2.4	0,54545455	0,54545455	0,54545455	0,66666667	0	0,54545455
3.1.2.6	1,0	1,0	1,0	1,0	0,85714286	1,0
2.4.1.91	0,54545455	0,75862069	0	0,15384615	0	0,70967742
2.3.1.220	1,0	1,0	0	0	0	1,0
